id;isbn;title;small_image_url;medium_image_url;language;price;nb_of_pages;publication;category_id;publisher_id;description
1001;1931182310;Advanced Java EE Development for Rational Application Developer 7.5: Developers Guidebook;http://ecx.images-amazon.com/images/I/51bjnhlGbeL._SL75_.jpg;http://ecx.images-amazon.com/images/I/51bjnhlGbeL._SL160_.jpg;FRENCH;79.95;752;now();1000;1008;Written by IBM senior field engineers and senior product development expertsthis advanced book provides a solid look at the development of a range of core Java EE technologiesas well as an in-depth description of the development facilities provided by IBM Rational Application Developer version 7.5. Since the Java EE developmental platform incorporates a wide range of technologies from disparate and myriad sourcesthis up-to-date guidebook helps developers triumph over the complexity and depth of knowledge required to build successful architectures. Senior developersengineersand architects—especially those who work with Rational Application Developer and those seeking certification at the Sun-certified Java master-tier level or the IBM Rational Application Developer certified professional and certified advanced professional levels—will appreciate this convenientsingle reference point
1002;1931182311;Advanced Java EE Development for Rational Application Developer 7.5: Developers Guidebook Author: Robert McChesney Nov-2011;http://ecx.images-amazon.com/images/I/51pri75YOPL._SL75_.jpg;http://ecx.images-amazon.com/images/I/51pri75YOPL._SL160_.jpg;FRENCH;9.99;753;now();1009;1003;Lorem ipsum dolor sit ametconsectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montesnascetur ridiculus mus. Donec quam felisultricies necpellentesque eupretium quissem. Nulla consequat massa quis enim. Donec pede justofringilla velaliquet necvulputate egetarcu. In enim justorhoncus utimperdiet avenenatis vitaejusto. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligulaporttitor euconsequat vitaeeleifend acenim. Aliquam lorem antedapibus inviverra quisfeugiat atellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempustellus eget condimentum rhoncussem quam semper liberosit amet adipiscing sem neque sed ipsum. Nam quam nuncblandit velluctus pulvinarhendrerit idlorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequatleo eget bibendum sodalesaugue velit cursus nunc
1003;1931182312;Advanced Java EE Development for Rational Application Developer 7.5: Developers Guidebook 2nd , Seco edition by McChesney, Robert, Cole, Kameron, Raszka, Richard (2011) Paperback;http://ecx.images-amazon.com/images/I/511pqkJd3UL._SL75_.jpg;http://ecx.images-amazon.com/images/I/511pqkJd3UL._SL160_.jpg;PORTUGUESE;9.99;754;now();1002;1006;Lorem ipsum dolor sit ametconsectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montesnascetur ridiculus mus. Donec quam felisultricies necpellentesque eupretium quissem. Nulla consequat massa quis enim. Donec pede justofringilla velaliquet necvulputate egetarcu. In enim justorhoncus utimperdiet avenenatis vitaejusto. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligulaporttitor euconsequat vitaeeleifend acenim. Aliquam lorem antedapibus inviverra quisfeugiat atellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempustellus eget condimentum rhoncussem quam semper liberosit amet adipiscing sem neque sed ipsum. Nam quam nuncblandit velluctus pulvinarhendrerit idlorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequatleo eget bibendum sodalesaugue velit cursus nunc
1004;1514210959;Advanced Java EE Development with WildFly;http://ecx.images-amazon.com/images/I/51f7V8CEb7L._SL75_.jpg;http://ecx.images-amazon.com/images/I/51f7V8CEb7L._SL160_.jpg;DEUTSCH;44.99;416;now();1006;1000;Your one-stop guide to developing Java® EE applications with the Eclipse IDEMavenand WildFly® 8.1 About This Book •Develop Java EE 7 applications using the WildFly platform •Discover how to use EJB 3.xJSF 2.xAjaxJAX-RSJAX-WSand Spring with WildFly 8.1 •A practical guide filled with easy-to-understand programming examples to help you gain hands-on experience with Java EE development using WildFly Who This Book Is For This book is for professional WildFly developers. If you are already using JBoss or WildFly but dont use the Eclipse IDE and Maven for developmentthis book will show you how the Eclipse IDE and Maven facilitate the development of Java EE applications with WildFly 8.1. This book does not provide a beginner-level introduction to Java EE as it is written as an intermediate/advanced course in Java EE development with WildFly 8.1. In Detail This book starts with an introduction to EJB 3 and how to set up the environmentincluding the configuration of a MySQL database for use with WildFly. We will then develop object-relational mapping with Hibernate 4build and package the application with Mavenand then deploy it in WildFly 8.1followed by a demonstration of the use of Facelets in a web application. Moving on from thatwe will create an Ajax application in the Eclipse IDEcompile and package it using Mavenand run the web application on WildFly 8.1 with a MySQL database. In the final leg of this bookwe will discuss support for generating and parsing JSON with WildFly 8.1
1005;8894038912;Advanced Jax-Ws Web Services;http://ecx.images-amazon.com/images/I/31lRGN%2BfvDL._SL75_.jpg;http://ecx.images-amazon.com/images/I/31lRGN%2BfvDL._SL160_.jpg;FINISH;22.90;154;now();1001;1009;In this book youll learn the concepts of Soap based Web Services architecture and get practical advice on building and deploying Web Services in the enterprise. Starting from the basics and the best practices for setting up a development environmentthis book enters into the inner details of the Jax-Ws in a clear and concise way. You will also learn about the major toolkits available for creatingcompiling and testing Soap Web Services and how to address common issues such as debugging data and securing its content. What you will learn: Move your first steps with Soap Web Services. Developing Web Services using top-down and bottom-up approach. Using Maven archetypes to speed up Web Services creation. Getting into the details of Jax-Ws types: Java to Xml mapping and Xml to Java Developing Soap Web Services on WildFly 8 and Tomcat. Running native Apache Cxf on WildFly Securing Web Services. Applying authentication policies to your services. Encrypting the communication
1006;7176392999;Mike Meyers Guide to Supporting Windows 7 for CompTIA A+ Certification (Exams 701 & 702) (All-in-One);http://ecx.images-amazon.com/images/I/51Dk-Zq2I7L._SL160_.jpg;http://ecx.images-amazon.com/images/I/51Dk-Zq2I7L._SL160_.jpg;ITALIAN;30.00;240;now();1000;1006;Mike Meyers Guide to Supporting Windows 7 for CompTIA A+ CertificationExams 220-701 & 220-702 Get the latest information on the new Windows 7 topics and questions added to CompTIA A+ exams 220-701 and 220-702. A must-have companion to CompTIA A+ All-in-One Exam GuideSeventh Edition andMike Meyers CompTIA A+ Guide to Managing and Troubleshooting PCsThird Editionthis book focuses on the new exam objectives. Mike Meyers Guide to Supporting Windows 7 for CompTIA A+ Certification provides learning objectives at the beginning of each chapterexam tipspractice exam questionsand in-depth explanations. Written by the leading authority on CompTIA A+ certification and trainingthis essential resource provides the up-to-date coverage you need to pass the exams with ease. Mike MeyersCompTIA A+CompTIA Network+CompTIA Security+MCPis the industrys leading authority on CompTIA A+ certification and the bestselling author of seven editions of CompTIA A+ All-in-One Exam Guide. He is the president of PC and network repair seminars for thousands of organizations throughout the worldand a member of CompTIA
1007;1849512442;Apache Maven 3 Cookbook (Quick Answers to Common Problems);http://ecx.images-amazon.com/images/I/41uiGX%2BdFRL._SL75_.jpg;http://ecx.images-amazon.com/images/I/41uiGX%2BdFRL._SL160_.jpg;PORTUGUESE;39.99;224;now();1003;1010;Take Flash to the next dimension by creating detailedanimatedand interactive 3D worlds with Away3D OverviewCreate stunning 3D environments with highly detailed texturesAnimate and transform all types of 3D objectsincluding 3D TextEliminate the need for expensive hardware with proven Away3D optimization techniqueswithout compromising on visual appeal Written in a practical and illustrative stylewhich will appeal to Away3D beginners and Flash developers alike In DetailAway3D is one of the most popular real-time 3D engines for Flash. Besides creating various detailed 3D environments you can also create animated 3D scenesuse various special effectsintegrate third-party librariesand much more. The possibilities of using this engine are endless. But will you be able take full advantage of all these features and make a 3D application that is picture perfect?. This is the best book for guiding you through Away3Dand the possibilities it opens up for the Flash platform. Youll be able to create basic 3D objectsdisplay lifelike animated charactersconstruct complex 3D scenes in stunning detailand much more with this practical hands-on guide. Starting with the very basicsthis book will walk you through creating your first Away3D applicationand then move on to describe and demonstrate the many features that are available within Away3D such as lightingshadinganimation3D textmodel loading and more. With the help of this comprehensive guide to all the information you ever needed to use Away3Dyoull find yourself creating incredibly detailed 3D environments in no time. You begin with an overview of downloading the Away3D source code and configuring various authoring tools like Flex BuilderFlash BuilderFlashDevelopand Flash CS4. Next you ease your way through creating your first primitive 3D object from scratchthen move on to creating stunning 3D environments with incredibly detailed textures and animations. You will make applications react to mouse eventswith the click of a mouse – literallylearn ways to focus your camera and perfect your creation by viewing it from all anglesand take your Away3D application to the next level by overcoming the limitations in default Away3D algorithms. You will also learn optimization techniques to obtain the best performance from Away3Dwithout compromising on visual appeal. Create stunning real-world 3D Flash applicationsright from displaying your first sphere to creating entire 3D citieswith plenty of tips to help you avoid common pitfalls. What you will learn from this bookDraw primitive shapes such as cubesconesspheresand planes without having to manually construct them from their basic elements Add eye-catching special effects to your Away3D applicationWarpcurvemodifyand bend 3D text to your willFocus the Camera and view 3D objects from all anglesImprove mouse interactivity in your 3D applicationIntegrate third-party libraries such as TweenLite and Stardust with Away3D to animate 3D objects and create particle effects Use sprites and sprite classesUtilize the power of Pixel Bender for image processingExport 3D models from 3D modeling applications such as 3ds MaxBlenderMilkShapeand Sketch-Up Get practical tips on achieving maximum performance in your 3D applications
1008;2746062399;Apache Tomcat 7 - Guide d administration du serveur Java EE 6 sous Windows et Linux;http://ecx.images-amazon.com/images/I/5159Mv-pl3L._SL75_.jpg;http://ecx.images-amazon.com/images/I/5159Mv-pl3L._SL160_.jpg;SPANISH;39.99;224;now();1003;1010;Take Flash to the next dimension by creating detailedanimatedand interactive 3D worlds with Away3D OverviewCreate stunning 3D environments with highly detailed texturesAnimate and transform all types of 3D objectsincluding 3D TextEliminate the need for expensive hardware with proven Away3D optimization techniqueswithout compromising on visual appeal Written in a practical and illustrative stylewhich will appeal to Away3D beginners and Flash developers alike In DetailAway3D is one of the most popular real-time 3D engines for Flash. Besides creating various detailed 3D environments you can also create animated 3D scenesuse various special effectsintegrate third-party librariesand much more. The possibilities of using this engine are endless. But will you be able take full advantage of all these features and make a 3D application that is picture perfect?. This is the best book for guiding you through Away3Dand the possibilities it opens up for the Flash platform. Youll be able to create basic 3D objectsdisplay lifelike animated charactersconstruct complex 3D scenes in stunning detailand much more with this practical hands-on guide. Starting with the very basicsthis book will walk you through creating your first Away3D applicationand then move on to describe and demonstrate the many features that are available within Away3D such as lightingshadinganimation3D textmodel loading and more. With the help of this comprehensive guide to all the information you ever needed to use Away3Dyoull find yourself creating incredibly detailed 3D environments in no time. You begin with an overview of downloading the Away3D source code and configuring various authoring tools like Flex BuilderFlash BuilderFlashDevelopand Flash CS4. Next you ease your way through creating your first primitive 3D object from scratchthen move on to creating stunning 3D environments with incredibly detailed textures and animations. You will make applications react to mouse eventswith the click of a mouse – literallylearn ways to focus your camera and perfect your creation by viewing it from all anglesand take your Away3D application to the next level by overcoming the limitations in default Away3D algorithms. You will also learn optimization techniques to obtain the best performance from Away3Dwithout compromising on visual appeal. Create stunning real-world 3D Flash applicationsright from displaying your first sphere to creating entire 3D citieswith plenty of tips to help you avoid common pitfalls. What you will learn from this bookDraw primitive shapes such as cubesconesspheresand planes without having to manually construct them from their basic elements Add eye-catching special effects to your Away3D applicationWarpcurvemodifyand bend 3D text to your willFocus the Camera and view 3D objects from all anglesImprove mouse interactivity in your 3D applicationIntegrate third-party libraries such as TweenLite and Stardust with Away3D to animate 3D objects and create particle effects Use sprites and sprite classesUtilize the power of Pixel Bender for image processingExport 3D models from 3D modeling applications such as 3ds MaxBlenderMilkShapeand Sketch-Up Get practical tips on achieving maximum performance in your 3D applications1009Lorem ipsum dolor sit ametconsectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montesnascetur ridiculus mus. Donec quam felisultricies necpellentesque eupretium quissem. Nulla consequat massa quis enim. Donec pede justofringilla velaliquet necvulputate egetarcu. In enim justorhoncus utimperdiet avenenatis vitaejusto. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligulaporttitor euconsequat vitaeeleifend acenim. Aliquam lorem antedapibus inviverra quisfeugiat atellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempustellus eget condimentum rhoncussem quam semper liberosit amet adipiscing sem neque sed ipsum. Nam quam nuncblandit velluctus pulvinarhendrerit idlorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequatleo eget bibendum sodalesaugue velit cursus nunc
1009;2746086336;Apache Tomcat 8 - Guide d administration du serveur Java EE 7 sous Windows et Linux;http://ecx.images-amazon.com/images/I/413b2IfJmsL._SL75_.jpg;http://ecx.images-amazon.com/images/I/413b2IfJmsL._SL160_.jpg;ITALIAN;39.99;224;now();1003;1010;Take Flash to the next dimension by creating detailedanimatedand interactive 3D worlds with Away3D OverviewCreate stunning 3D environments with highly detailed texturesAnimate and transform all types of 3D objectsincluding 3D TextEliminate the need for expensive hardware with proven Away3D optimization techniqueswithout compromising on visual appeal Written in a practical and illustrative stylewhich will appeal to Away3D beginners and Flash developers alike In DetailAway3D is one of the most popular real-time 3D engines for Flash. Besides creating various detailed 3D environments you can also create animated 3D scenesuse various special effectsintegrate third-party librariesand much more. The possibilities of using this engine are endless. But will you be able take full advantage of all these features and make a 3D application that is picture perfect?. This is the best book for guiding you through Away3Dand the possibilities it opens up for the Flash platform. Youll be able to create basic 3D objectsdisplay lifelike animated charactersconstruct complex 3D scenes in stunning detailand much more with this practical hands-on guide. Starting with the very basicsthis book will walk you through creating your first Away3D applicationand then move on to describe and demonstrate the many features that are available within Away3D such as lightingshadinganimation3D textmodel loading and more. With the help of this comprehensive guide to all the information you ever needed to use Away3Dyoull find yourself creating incredibly detailed 3D environments in no time. You begin with an overview of downloading the Away3D source code and configuring various authoring tools like Flex BuilderFlash BuilderFlashDevelopand Flash CS4. Next you ease your way through creating your first primitive 3D object from scratchthen move on to creating stunning 3D environments with incredibly detailed textures and animations. You will make applications react to mouse eventswith the click of a mouse – literallylearn ways to focus your camera and perfect your creation by viewing it from all anglesand take your Away3D application to the next level by overcoming the limitations in default Away3D algorithms. You will also learn optimization techniques to obtain the best performance from Away3Dwithout compromising on visual appeal. Create stunning real-world 3D Flash applicationsright from displaying your first sphere to creating entire 3D citieswith plenty of tips to help you avoid common pitfalls. What you will learn from this bookDraw primitive shapes such as cubesconesspheresand planes without having to manually construct them from their basic elements Add eye-catching special effects to your Away3D applicationWarpcurvemodifyand bend 3D text to your willFocus the Camera and view 3D objects from all anglesImprove mouse interactivity in your 3D applicationIntegrate third-party libraries such as TweenLite and Stardust with Away3D to animate 3D objects and create particle effects Use sprites and sprite classesUtilize the power of Pixel Bender for image processingExport 3D models from 3D modeling applications such as 3ds MaxBlenderMilkShapeand Sketch-Up Get practical tips on achieving maximum performance in your 3D applications1001Lorem ipsum dolor sit ametconsectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montesnascetur ridiculus mus. Donec quam felisultricies necpellentesque eupretium quissem. Nulla consequat massa quis enim. Donec pede justofringilla velaliquet necvulputate egetarcu. In enim justorhoncus utimperdiet avenenatis vitaejusto. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligulaporttitor euconsequat vitaeeleifend acenim. Aliquam lorem antedapibus inviverra quisfeugiat atellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempustellus eget condimentum rhoncussem quam semper liberosit amet adipiscing sem neque sed ipsum. Nam quam nuncblandit velluctus pulvinarhendrerit idlorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequatleo eget bibendum sodalesaugue velit cursus nunc
1010;1492201448;Apache TomEE Cookbook: Apache TomEE Administrator Cookbook;http://ecx.images-amazon.com/images/I/61fIAAa6poL._SL75_.jpg;http://ecx.images-amazon.com/images/I/61fIAAa6poL._SL160_.jpg;FRENCH;35.00;196;now();1002;1007;This cookbook is written for learning TomEE internals by server administrators and Java EE developers. Administrators will learn how to configure TomEE for using it in a production environment. Developers will learn how to create web applications using the Java™ PlatformEnterprise Edition 6 (Java EE 6) technologies provided by TomEE runtime and to deploy these enterprise applications into TomEE. Chapters of the book: Chapter 1 : Introduction Chapter 2 : Getting Started Chapter 3 : TomEE Architecture Chapter 4 : TomEE Web ServerApache Tomcat Chapter 5 : TomEE EJB Lite ServerApache OpenEJB Chapter 6 : Deployments in TomEE Chapter 7 : JavaEE Technologies Used in TomEE Chapter 8 : TomEE Security Chapter 9 : JNDI Naming In TomEE Chapter 10 : Transactions in TomEE Chapter 11 : TomEE Clustering Features Chapter 12 : TomEE WebSocket Protocol Support Chapter 13 : TomEE GUI Chapter 14 : Testing Techniques in TomEE Chapter 15 : TomEE Embedded Usage Chapter 16 : Useful References Chapter 17 : ASF License
